#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.242227e+00     -6.242227e+00      0.000000e+00
           2     -6.240617e+00     -6.241422e+00      5.690543e-04
           3     -6.240560e+00     -6.241135e+00      4.460766e-04
           4     -6.241051e+00     -6.241114e+00      3.350485e-04
           5     -6.241473e+00     -6.241186e+00      2.756548e-04
           6     -6.240954e+00     -6.241147e+00      2.323966e-04
           7     -6.240582e+00     -6.241066e+00      2.127711e-04
           8     -6.241804e+00     -6.241159e+00      2.051972e-04
           9     -6.240570e+00     -6.241093e+00      1.925311e-04
          10     -6.240903e+00     -6.241074e+00      1.742117e-04
          11     -6.241525e+00     -6.241115e+00      1.631149e-04
          12     -6.240935e+00     -6.241100e+00      1.502097e-04
          13     -6.241732e+00     -6.241149e+00      1.462979e-04
          14     -6.242080e+00     -6.241215e+00      1.502225e-04
          15     -6.241160e+00     -6.241212e+00      1.402531e-04
          16     -6.241057e+00     -6.241202e+00      1.318197e-04
          17     -6.241678e+00     -6.241230e+00      1.270032e-04
          18     -6.240933e+00     -6.241213e+00      1.210132e-04
          19     -6.241143e+00     -6.241210e+00      1.147003e-04
          20     -6.241226e+00     -6.241210e+00      1.089680e-04
          21     -6.241617e+00     -6.241230e+00      1.054807e-04
          22     -6.241429e+00     -6.241239e+00      1.010734e-04
          23     -6.242945e+00     -6.241313e+00      1.208774e-04
          24     -6.242339e+00     -6.241356e+00      1.231640e-04
          25     -6.241042e+00     -6.241343e+00      1.188756e-04
          26     -6.241454e+00     -6.241347e+00      1.143802e-04
          27     -6.241391e+00     -6.241349e+00      1.101552e-04
          28     -6.242760e+00     -6.241399e+00      1.171801e-04
          29     -6.241546e+00     -6.241405e+00      1.132476e-04
          30     -6.241855e+00     -6.241420e+00      1.104651e-04
          31     -6.240961e+00     -6.241405e+00      1.078887e-04
          32     -6.240627e+00     -6.241380e+00      1.072194e-04
          33     -6.241396e+00     -6.241381e+00      1.039713e-04
          34     -6.241543e+00     -6.241386e+00      1.010220e-04
          35     -6.240349e+00     -6.241356e+00      1.023835e-04
          36     -6.241854e+00     -6.241370e+00      1.004687e-04
          37     -6.240453e+00     -6.241345e+00      1.007660e-04
          38     -6.241704e+00     -6.241355e+00      9.855571e-05
          39     -6.240713e+00     -6.241338e+00      9.739154e-05
          40     -6.241137e+00     -6.241333e+00      9.508619e-05
          41     -6.241199e+00     -6.241330e+00      9.282318e-05
          42     -6.240718e+00     -6.241315e+00      9.174739e-05
          43     -6.240705e+00     -6.241301e+00      9.070347e-05
          44     -6.241493e+00     -6.241305e+00      8.874644e-05
          45     -6.242511e+00     -6.241332e+00      9.072636e-05
          46     -6.241905e+00     -6.241345e+00      8.960430e-05
          47     -6.240969e+00     -6.241337e+00      8.805432e-05
          48     -6.239949e+00     -6.241308e+00      9.083992e-05
          49     -6.240812e+00     -6.241298e+00      8.954753e-05
          50     -6.240832e+00     -6.241288e+00      8.824016e-05
